Company_Brand,Sector,Stage,Amount($),HeadQuarter,What_it_does,Year
ONGO Framework,b2b_services,Angel,1000000.0,Hyderabad,ONGO Framework is a B2B IT and digital solution provider.,2018
Notesgen,education_and_learning,Seed,1825000.0,Delhi,A Global Peer-to-Peer and Peer-to-Group Learning Platform that helps students supplement their academic & competitive exam prep.,2018
Arogya MedTech,health_and_wellness,Seed,2190000.0,Kolkata,Arogya MedTech is a Research & Development organization in Bio-Medical industry.,2018
Propshop24,e_commerce,Seed,500000.0,Mumbai,"Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world.",2018
myUpchar,health_and_wellness,Series A,5000000.0,Delhi,To bring health issues to people in their language.,2018
MissMalini Entertainment,unknown,Seed,15183999.999999998,Mumbai,"MissMalini Entertainment is a multi-platform new media network dedicated to Entertaining, Connecting & Empowering young Indians.",2018
Rooter,sports_and_gaming,Seed,6570000.0,Unknown,Rooter is a mobile-based platform,2018
ZestMoney,technology,Series A,13400000.0,Bangalore,Zest is India's first completely automated consumer digital lending platform.,2018
alphaics Corporation,technology,Seed,3530000.0,Bangalore,Advancing AI compute,2018
MyDentistChoice,health_and_wellness,Seed,500000.0,Hyderabad,MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers,2018
Sattviko,automotive_and_transportation,Angel,3530000.0,Delhi,Sattviko fosters wellness and shares Indianness through the Sattvik way of cooking that is wholesome and tasty!,2018
Sensibull,e_commerce,Seed,3650000.0,Bangalore,Investment Management Platform,2018
Bombay Shaving Company,technology,Series A,3530000.0,Delhi,Bombay Shaving Company is a Men's grooming startup,2018
MedCords,health_and_wellness,Seed,3854399.9999999995,Pune,Medcords is India’s first holistic healthcare ecosystem on a cloud platform that makes health management easier,2018
University Living,education_and_learning,Seed,3530000.0,Delhi,University Living is an online global student housing marketplace.,2018
&ME,automotive_and_transportation,Seed,3530000.0,Bangalore,Food and Beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness.,2018
Enakshi,fashion_and_lifestyle,Seed,1168000.0,Ahmedabad,Enakshi is an online apparel brand for women.,2018
Ultraviolette Automotive,automotive_and_transportation,Series A,8760.0,Bangalore,Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.,2018
Inthree Access,services_and_support,Series A,4000000.0,Chennai,Inthree Access is an impact venture that connects the most inaccessible rural markets with products that can transform lives in Rural India.,2018
BUGWORKS Research India,technology,Series A,9000000.0,Bangalore,BUGWORKS is a drug discovery company.,2018
Guardian.in,health_and_wellness,Seed,3530000.0,Mumbai,GNC is a leading global specialty retailer of health and wellness products that takes pride to be the world's largest company,2018
PrestLoans,finance_and_banking,Seed,100000.0,Delhi,"PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy, quick n hassle free loans.",2018
Wimoxez,technology,Seed,20000.0,Hyderabad,"Data Intelligence Publishing Platform, We bring the best resources to learn valuable technologies which will shape tomorrow.",2018
India Accelerator,technology,Angel,3530000.0,Gurugram,India Accelerator runs mentorship-driven incubation and acceleration programs for start ups.,2018
HappyEMI,technology,Seed,1000000.0,Bangalore,HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases in-store and online,2018
Wishup,technology,Seed,3530000.0,Azadpur,Premium Personal Assistance service,2018
Hansel.io,technology,Series A,4000000.0,Bangalore,"Hansel, a mobile app management platform, provides the infrastructure that companies need, in order to personalize product experiences.",2018
Propelld,education_and_learning,Seed,250000.0,Bangalore,Propelld is a student education financing platform.,2018
PivotRoots,finance_and_banking,Series A,3530000.0,Mumbai,Digital Marketing powered by Data & Technology; fueled by Design thinking,2018
ZiffyHomes,marketing_and_advertising,Seed,120000.0,Delhi,ZiffyHomes is a technology driven marketplace to find out home on rent.,2018
Carmesi,health_and_wellness,Seed,4964000.0,Gurugram,Carmesi is a brand of high-end menstrual-hygiene products in India.,2018
OckyPocky,e_commerce,Angel,3530000.0,Haryana,OckyPocky is a interactive and personalised language learning app for preschool kids.,2018
Racetrack,technology,Seed,49932000.0,Bangalore,"Racetrack is a sales and support-focused AI-driven platform designed for education, real estate, and e-commerce sectors.",2018
WHR,health_and_wellness,Seed,143145.0,Pune,"WHR is to make affordable healthcare a reality for all. Our vision is to make healthcare services easier, better and more accessible.",2018
Asteria Aerospace,automotive_and_transportation,Seed,3530000.0,Bangalore,Asteria Aerospace is a robotics and artificial intelligence company.,2018
FabAlley,e_commerce,Series B,87600000.0,Noida,"FabAlley is the ultimate Indian fashion destination for fashion-forward, indie-chic girls. Founded in 2012, Tanvi Malik and Shivani Poddar",2018
Tranzmeo,technology,Pre-Seed,3530000.0,Kochi,Tranzmeo Connect : is A Complete Comprehensive Anomaly forensic Solution with Actionable Insights.,2018
SBI Life,finance_and_banking,Private Equity,742000000.0,Mumbai,SBI Life is one of the life insurance company that offers a range of life insurance plans and policies to protect you and your family.,2018
Studds Accessories,e_commerce,Private Equity,146000000.0,Faridabad,Studds Accessories is a scooter accessories service provider in India,2018
Design Cafe,real_estate_and_construction,Series B,292000000.0,Bangalore,"Design + Execution Organization that delivers beautiful & innovative designs for Home Interiors, in any budget.",2018
NoPaperForms Solutions Pvt. Ltd.,education_and_learning,Series B,3980000.0,Delhi,"NoPaperForms is a marketing automation, lead nurture and enrolment management platform for educational institutions",2018
Rays Power Infra,energy_and_environment,Unknown,292000000.0,Jaipur,Rays Power Infra is a leading integrated Solar Power Company.,2018
AuthMetrik,b2b_services,Grant,10000.0,Gurugram,"SaaS, B2B, Security, Stop account sharing, Fraud Detection",2018
Khidki,technology,Seed,3530000.0,Bangalore,Vernacular Social Network Focused on Town Level Content and Interactions,2018
LetsTransport,technology,Series B,146000000.0,Bangalore,Lets transport is a logistics solution provider.,2018
Next Digital Solutions,finance_and_banking,Angel,14599.999999999998,Kota,Next Digital Solutions is website design & Digital Marketing development company.,2018
Portea Medical,health_and_wellness,Debt Financing,36500000.0,Bangalore,Portea Medical is the largest and fastest growing provider of in-home medical care in India today with a 24-city network.,2018
Aavas Financiers,finance_and_banking,Post-IPO Debt,292000000.0,Jaipur,"Aavas Financiers is engaged in the business of providing housing loans, primarily in the un-served, unreached and under-served market.",2018
Swiggy,automotive_and_transportation,Series H,1000000000.0,Bangalore,Swiggy is a food ordering and delivery company that provides food service solutions for restaurants.,2018
Milkbasket,e_commerce,Series A,7000000.0,Haryana,"Milkbasket delivers milk, bread, eggs, butter, juices and other daily need items, every morning, right at your doorstep, free of charge.",2018
Nutrisattva (Proliva),health_and_wellness,Angel,3530000.0,Anand,Nutrisattva is a protein innovation compan,2018
Toppr,education_and_learning,Series C,35000000.0,Mumbai,Toppr.com is an online preparation platform for entrance exams in India.,2018
Jagaran Microfin,unknown,Debt Financing,80300000.0,Kolkata,Jagaran Microfin is a Microfinance institution which achieves a healthy amalgamation of social and financial,2018
Vivriti Capital,finance_and_banking,Unknown,28500000.0,Chennai,Vivriti Capital is an online platform for institutional debt in India.,2018
Be U Salons,technology,Seed,4380000.0,Delhi,Be U is India's first subscription based Salon Chain.,2018
Impact Guru,finance_and_banking,Series A,2000000.0,Mumbai,"We're a Harvard incubated crowdfunding platform for nonprofits, social enterprises, startups and individuals.",2018
MobiKwik,technology,Series E,35040000.0,Gurugram,MobiKwik is a payments backed fintech platform in India. MobiKwik App offers instant loans & investment products to the 500M masses of India,2018
Stones2Milestones,e_commerce,Seed,3530000.0,Gurugram,Stones2milestones is a Gurgaon Based Learning Company.,2018
Generico,health_and_wellness,Series A,3530000.0,Mumbai,Generico is the fastest growing specialized pharmacy retail chain of Generic medicines.,2018
Adiuvo Diagnostics,health_and_wellness,Seed,3530000.0,Chennai,Adiuvo Diagnostics is a medical diagnostic device company based in India.,2018
DataTrained,education_and_learning,Seed,17520000.0,Bangalore,"DataTrained is a educational platform, which operates an ed-tech startup on data science",2018
OneAssist,finance_and_banking,Debt Financing,2400000.0,Mumbai,OneAssist is a protection & assistance services platform.,2018
Satin Creditcare Network Limited (SCNL),finance_and_banking,Post-IPO Debt,30000000.0,Delhi,Satin is a non-banking finance company providing individual loans to urban shopkeepers.,2018
APAC Financial Services,finance_and_banking,Private Equity,365000000.0,Mumbai,APAC Financial Services is a financial services platform.,2018
Moglix,b2b_services,Series C,23000000.0,Noida,"Moglix is a supplier of industrial tools like hand tools, power tools, electrical, and safety equipment.",2018
SEDEMAC Mechatronics,automotive_and_transportation,Unknown,3530000.0,Mumbai,SEDEMAC Mechatronics is technology company that distributes control-intensive products for automobiles.,2018
MadGuy Labs,e_commerce,Unknown,150000.0,Hyderabad,MadGuy Labs is a Online Test-prep Platform.,2018
Dee Dee Labs,technology,Seed,3530000.0,Pune,Dee Dee Labs is design and development lab with a primary focus on the development of next generation of bionic prostheses.,2018
FLEECA,unknown,Seed,3530000.0,Jaipur,FLEECA is a Tyre Care Provider company.,2018
Shop101,technology,Series B,11000000.0,Mumbai,#1 Online Selling App. India’s leading social commerce platform. Setup free online store in 2 min. Sell own goods or resell Shop101 Supply.,2018
FeedMyPockets,finance_and_banking,Seed,6424000.0,Bangalore,On Demand Staffing Platform,2018
Housejoy,health_and_wellness,Series B,3240000.0,Bangalore,Housejoy is a web-based platform that allows individuals to browse and book service providers for their homes.,2018
Ambee,health_and_wellness,Angel,3530000.0,Bangalore,Ambee is an Environment analytics startup.,2018
FoodBuddy,automotive_and_transportation,Seed,8760000.0,Belgaum,"FoodBuddy is a online food delivery portal, providing boundary breaking delivery.",2018
Ninjacart,agriculture_and_food,Series B,365000000.0,Bangalore,Ninjacart is a B2B agri-marketing platform that connects vegetables and fruits farmers directly with businesses.,2018
Olly Smart Credit Card,finance_and_banking,Seed,3530000.0,Delhi,Olly is a digital credit card for India's working masses and young people.,2018
Zestl,technology,Seed,3530000.0,Pune,"No-Code Workflow Automation. Build enterprise applications in days with AI, Cognitive Automation, Collaboration and more built in.",2018
BYJU’S,education_and_learning,Private Equity,540000000.0,Bangalore,BYJU’s is an edtech company that is reinventing how students learn through its learning app.,2018
Wakefit,manufacturing_and_industrial,Unknown,94900000.0,Bangalore,Wakefitkart is a mattress manufacturing company. We manufacture the best quality mattresses at affordable prices.,2018
Hero Electric,manufacturing_and_industrial,Unknown,233600000.0,Delhi,"Hero Electric, a 100% subsidiary of the Hero Group, is a pioneer in the Indian Electric Vehicle Industry.",2018
Pentation Analytics,technology,Seed,3530000.0,Mumbai,Pentation as an Insurtech enables insurers and intermediaries with our Insurance Analytics Suite- an Insurance specific AI/ML Software Suite,2018
PerkFinance,technology,Seed,900000.0,Bangalore,PerkFinance partners with employers to provide affordable loans to their employees at no cost to the company,2018
Roposo,technology,Series C,10000000.0,Gurugram,Roposo - TV by the People is a unique social media platform where people express visually with homemade videos and photos.,2018
Plum Goodness,health_and_wellness,Series A,3530000.0,Thane,Plum Haircare Is Silicone-Free & Sulphate-Free. Designed For Damaged & Dandruff-Free Hair,2018
Drstore,health_and_wellness,Seed,3530000.0,Mumbai,Drstore is a exclusive e- commerce platform.,2018
Wow Venue,automotive_and_transportation,Unknown,1500000.0,Mumbai,Wow Venue is an online platform.,2018
Chizel,manufacturing_and_industrial,Seed,3530000.0,Pune,Chizel is a worlds most advanced cloud platform for on-demand manufacturing in 3D Printing and CNC Machining,2018
OTO Capital,automotive_and_transportation,Seed,7300000.0,Mumbai,OTO Capital is a platform that allows you to own a car faster than ever.,2018
Boodmo,automotive_and_transportation,Seed,10220000.0,Gurugram,boodmo.com - large online marketplace for auto parts in India.,2018
Khabri,technology,Seed,3530000.0,Haryana,Khabri is a digital audio platform for content in vernacular.,2018
MyNewCar.in,automotive_and_transportation,Unknown,1000000.0,Gurugram,MyNewCar.in offers new cars at best price with great deals. Book a new car online or request a doorstep test drive,2018
HalaPlay Technologies,technology,Series A,5000000.0,Bangalore,A daily fantasy sports platform.,2018
PlanetSpark,e_commerce,Seed,2336000.0,Gurugram,PlanetSpark is an after-school Maths and English learning program for pre teen kids between Grades 2nd to 7th.,2018
WheelsEMI,unknown,Series B,14000000.0,Pune,"WheelsEMI is the brand name of NBFC, WheelsEMI Pvt. Ltd.",2018
Forum for Innovation Incubation Research and Entrepreneurship,finance_and_banking,Grant,14964999.999999998,Margão,"FiiRE, a technology business incubator helps the startup process to move from the garage to the lab.",2018
OYO,health_and_wellness,Series E,100000000.0,Gurugram,OYO is an Indian hospitality startup that operates a network of budget hotels.,2018
Quikr,e_commerce,Debt Financing,80300000.0,Bangalore,"Quikr is a free classifieds and online marketplace that helps users sell, buy, rent, or discover anything across India.",2018
Tabono,sports_and_gaming,Seed,3530000.0,Gurugram,Tabono is a one stop environment for all your fitness solution.,2018
LearnApp,finance_and_banking,Seed,2920000.0,Noida,"Learnapp.co - Video courses & live classes in investing, trading, banking and finance.",2018
Shopkirana,e_commerce,Unknown,2000000.0,Indore,Shopkirana connects brands and traditional retailers with the help of technology and supply chain innovation.,2018
Fric Bergen,unknown,Unknown,3530000.0,Alwar,Fric Bergen is a leader in the specialty food industry.,2018
Articbot,technology,Grant,175200.0,Kannur,Articbot is a conversational AI platform for automated customer support and lead generation,2018
BuildSupply,e_commerce,Series A,36500000.0,Gurugram,India’s most advanced ERP system for the real estate,2018
Fusion Microfinance,finance_and_banking,Series E,759200000.0,Delhi,Fusion Microfinance Pvt. Ltd. is an NBFC registered with RBI,2018
Any time Doctor,technology,Angel,3530000.0,Chennai,Anytime Doctor is a Software company.,2018
Go Payments,technology,Corporate ,3530000.0,Mumbai,Go Payments was founded with the mission of assisting consumers with performing a whole host of financial services at their doorstep.,2018
Guiddoo World,media_and_entertainment,Seed,800000.0,Mumbai,We build In-Destination Experiences!,2018
ION Energy,energy_and_environment,Unknown,1041000.0,Mumbai,A stealth startup building a layer of infrastructure for highly efficient energy storage systems.,2018
UnoTag,technology,Pre-Seed,100000.0,Bangalore,SaaS to verify counterfeit,2018
CivilCops,social_and_community,Pre-Seed,100000.0,Gurugram,Gov-Tech,2018
Rockmetric,technology,Grant,3530000.0,Mumbai,"Smarter analytics to understand how each customer uses your product. Drive growth in conversion, retention and engagement.",2018
Classworks India,education_and_learning,Unknown,14599.999999999998,Chennai,"Saas, Web App, Mobile App, School Education",2018
Snapmint,technology,Seed,3530000.0,Mumbai,"Snapmint facilitates simplified, fairly-priced and hassle-free EMI options without a Credit Card.",2018
artbandhu,technology,Pre-Seed,15000.0,Bangalore,Ai platform for Art and Creative Community,2018
Survaider,technology,Seed,500000.0,Bangalore,Stethoscope for customer feedback !,2018
Credy,finance_and_banking,Seed,1400000.0,Bangalore,Credy is a fintech platform that connects borrowers seeking capital with lenders seeking market beating returns.,2018
iChamp,e_commerce,Seed,5000000.0,Gurugram,iChamp is an e education innovation product from RNM E-Services Pvt Ltd.,2018
Qandle,technology,Seed,1200000.0,Gurugram,A cloud-based HR management and employee engagement platform.,2018
Avishkaar Box,social_and_community,Seed,7300000.0,Delhi,"Avishkaar Box is just not another box full of material rather it is a well researched, thought through solution",2018
Gegadyne Energy,automotive_and_transportation,Angel,3530000.0,Mumbai,A Mumbai-based startup Electric Vehicle (EV) & Energy Storage company.,2018
HyperXchange,e_commerce,Series A,1000000.0,Pune,hyperXchange is India's fastest growing O2O marketplace for premium refurb gadgets,2018
Deftouch,unknown,Seed,3530000.0,Bangalore,Deftouch is a mobile game development company that currently focuses on winning the Cricket gaming market with a social multiplayer game.,2018
Doodhwala,automotive_and_transportation,Seed,2200000.0,Bangalore,Doodhwala is an online milk delivery startup that offers over 70 varieties of milk along with a plan based on clients' requirement.,2018
DronaHQ,technology,Angel,500000.0,Mumbai,DronaHQ is an enterprise mobile engagement platform.,2018
FastFox,real_estate_and_construction,Series A,14600000.0,Gurugram,FastFox: Market Network for Home Rentals (India),2018
BuyForexOnline,travel_and_tourism,Unknown,2000000.0,Bangalore,BuyForexOnline.com is India's first completely online provider for buying Foreign Exchange.,2018
Colive.in,technology,Seed,1800000.0,Bangalore,A technology powered network of Branded Serviced Homes conveniently located near educational institutions & workplaces.,2018
Agricxlab Private Limited,b2b_services,Seed,500000.0,Thane,Online marketplace where farmers and traders can sell their produce to B2B buyers,2018
Corefactors,unknown,Seed,3530000.0,Bangalore,"Corefactors is a leading campaign management, business communication and analytics company.",2018
Fincash.com,finance_and_banking,Seed,150000.0,Mumbai,A startup in the personal finance space in India .,2018
Pandorum Technologies,technology,Series A,3600000.0,Bangalore,Bengaluru based biotech startup.,2018
Shirsa Labs,education_and_learning,Seed,500000.0,Mumbai,Shirsa Labs is a cognitive skill assessment and training portal that provides children with fun educational games.,2018
PetSutra,health_and_wellness,Seed,1387000.0,Gurugram,Gurugram-based Online petcare platform.,2018
Awaaz De,technology,Angel,3530000.0,Ahmedabad,Awwaz.De develops inclusive mobile solutions that enable organizations to achieve last-mile connectivity for social impact.,2018
PinkBlue,health_and_wellness,Seed,300000.0,Bangalore,PinkBlue.in - Super-efficient supply-chain for clinical supplies,2018
Eduvanz,finance_and_banking,Angel,500000.0,Mumbai,"Eduvanz is new, innovative finance company, which is completely revolutionizing the student loan market.",2018
Rupeek,finance_and_banking,Series A,6830000.0,Bangalore,Rupeek is an asset backed online lending platform currently operating in the space of Gold loans.,2018
Backpacker Panda Holidays Private Limited,travel_and_tourism,Series A,1400000.0,Pune,Backpacker Panda is creating an ecosystem for youth accommodation and travel.,2018
Shape (School Health and Physical Education),education_and_learning,Seed,200000.0,Pune,Physical education start up,2018
Placio,health_and_wellness,Seed,2000000.0,Noida,Placio is a student housing and a complete broker-free platform.,2018
Aviom India Housing Finance,finance_and_banking,Series A,21900000.0,Delhi,Delhi based housing finance company.,2018
GenRobotic,marketing_and_advertising,Seed,3530000.0,Trivandrum,A Robotic Company.,2018
HeyHolidays,travel_and_tourism,Seed,1000000.0,Bangalore,"HeyHolidays, a global player in online vacation rentals.",2018
Pratilipi,technology,Series A,4300000.0,Bangalore,Amazon's Kindle Direct Publishing for Indian Languages,2018
SectorQube,technology,Seed,3530000.0,Ernakulam,SectorQube develops smart kitchen devices that make food automatically.,2018
Food Memories,automotive_and_transportation,Seed,3530000.0,Ahmedabad,Iconic Indian Delicacies from the most renowned vendors of India Delivered Globally.,2018
ZAMROO,technology,Seed,3530000.0,Unknown,Zamroo is a growing mobile marketplace that allows users to buy and sell locally.,2018
Silversparro Technologies Pvt. Ltd,technology,Seed,300000.0,Gurugram,Silversparro is a deep learning technology solution provider.,2018
Creator’s Gurukul,technology,Angel,3530000.0,Gurugram,A coworking space provider.,2018
Emflux Motors,automotive_and_transportation,Seed,364846.0,Bangalore,Emflux Motors is committed to bring clean and sustainable energy into a state of universal acceptance through technological innovation.,2018
Tricog Health Services Pvt Ltd,health_and_wellness,Series A,4000000.0,Bangalore,Predictive Healthcare Analytics Company,2018
Scapic,technology,Seed,500000.0,Bangalore,Virtual/Augmented Reality Start Up .,2018
6Degree,fashion_and_lifestyle,Seed,400000.0,Mumbai,A fashion enterprise that provides a launchpad to fashion talent and brands using a tech enabled platform,2018
Chrysalis (EZ Vidya),education_and_learning,Seed,3530000.0,Chennai,Chrysalis (EZ Vidya) is India’s leading educational research and innovation organization,2018
Ekincare,health_and_wellness,Series A,1500000.0,Hyderabad,EKincare empowers you to take charge of your health by enabling you to monitor critical medical info and make it available anywhere.,2018
Streo,technology,Seed,3530000.0,Gurugram,"Live stream music from nightclubs, bars & festivals!",2018
Groww,finance_and_banking,Seed,120000.0,Koramangala,Groww offers a new way of investing money.,2018
Cell Propulsion,unknown,Seed,1021999.9999999999,Bangalore,Cell Propulsion is an electric mobility startup that designs autonomous electric vehicles.,2018
Chezuba,technology,Angel,204400.0,Hyderabad,Chezuba is a web-based platform enabling skilled professionals to volunteer online with Non-profits worldwide,2018
Ontrack Technologies Pvt. Ltd,technology,Seed,3530000.0,Bangalore,Ontrack provides affordable independent transport to those dependent on cabs and autos for commute by renting bikes on a monthly basis.,2018
Wealthtrust,finance_and_banking,Seed,500000.0,Mumbai,Wealthtrust offers a wealth manager application that enables its users to invest and manage their investments online.,2018
Faclon Labs,technology,Seed,3530000.0,Mumbai,Faclon is an IoT and data analytics based tech startup building products to make cities and villages smart.,2018
Awign Enterprises,automotive_and_transportation,Seed,7300000.0,Bangalore,Operations and manpower outsourcing startup,2018
CollPoll,education_and_learning,Seed,3530000.0,Bangalore,World-class Enterprise System for Education.,2018
Zyla Health,health_and_wellness,Seed,3530000.0,Delhi,Zyla is transforming the way healthcare is delivered in India with specific focus on high-risk chronic patients.,2018
Hubhopper,technology,Series A,500000.0,Delhi,Get your daily dose of interest as summaries from news and magazine stories .,2018
Rubix108 Technologies,technology,Seed,1000000.0,Pune,Rubix Total App makes it effortless for Institutes to send home important information and updates about the day’s learning experiences.,2018
Workflexi,services_and_support,Seed,1460000.0,Bangalore,"Be Smart, Work on Contract,Be Smart, Hire on Contract",2018
Streak,finance_and_banking,Seed,3285000.0,Bangalore,Algorithmic trading platform.,2018
Kuants,finance_and_banking,Seed,730000.0,Gurugram,Algorithmic trading platform.,2018
NiYO Solutions,finance_and_banking,Series A,13200000.0,Bangalore,NiYO is a fintech company that helps salaried employees access company benefits and other financial services.,2018
Hippo Video,services_and_support,Seed,3530000.0,Chennai,A video recording and sharing software.,2018
Satvacart,e_commerce,Seed,3530000.0,Gurugram,Satvacart is a Gurgaon’s largest online supermarket,2018
Daaki,health_and_wellness,Angel,3530000.0,Bangalore,Sports Nutrition startup,2018
Simulanis,education_and_learning,Seed,500000.0,Delhi,A Delhi-based Augmented Reality and Virtual Reality technology development company.,2018
